Libro_1,Autor_1,449,humor thriller investigacion ensayo 
Libro_2,Autor_2,458,cine infantil ciencia 
Libro_3,Autor_3,316,fantasia biografia poesia politica thriller fotografia gastronomia religion 
Libro_4,Autor_4,323,drama poesia juegos leyendas filosofia economia 
Libro_5,Autor_5,190,arte historia musica poesia ciencia 
Libro_6,Autor_6,252,drama negocios ensayo psicologia educacion infantil fotografia arte ciencia 
Libro_7,Autor_7,154,policial historia terror ensayo ciencia thriller 
Libro_8,Autor_8,235,psicologia informática gastronomia arte juegos viajes poesia 
Libro_9,Autor_9,301,ensayo tecnologia arte fotografia 
Libro_10,Autor_10,280,educacion novela 
Libro_11,Autor_11,240,fotografia relatos arte psicologia 
Libro_12,Autor_12,349,infantil educacion musica leyendas terror fantasia cultura 
Libro_13,Autor_13,354,religion economia educacion 
Libro_14,Autor_14,59,fotografia juegos 
Libro_15,Autor_15,461,romance cine moda gastronomia leyendas fantasia 
Libro_16,Autor_16,271,psicologia filosofia 
Libro_17,Autor_17,30,cine educacion arte leyendas 
Libro_18,Autor_18,395,ficcion moda relatos 
Libro_19,Autor_19,404,periodismo thriller poesia infantil ficcion drama 
Libro_20,Autor_20,239,arte cine 
